"KEY","C","F","H","Time"
"-M_uzgci1MndJMQieuye","32","89.599998","49","1621285987"
"-M_uzgzBnjO1w6cirmet","32","89.599998","49","1621285988"
"-M_uzhKeXOI1ZP7EbIy3","32","89.599998","49","1621285989"
"-M_uzhg5ohsNuJKOK63r","32","89.599998","49","1621285991"
"-M_uzi1X3EWPapiE701F","32","89.599998","49","1621285992"
"-M_uziNxQWcdmYqD9lyL","32","89.599998","49","1621285994"
"-M_uzijOvdSjThLPtuql","32","89.599998","49","1621285995"
"-M_uzj4qLOpjoSM28DQv","32","89.599998","49","1621285997"
"-M_uzjRM6ISuepNLCcOQ","32","89.599998","49","1621285998"
"-M_uzjmnmoB8LrHnvOwO","32","89.599998","49","1621286000"
"-M_uzk8GDm6wKu80Wpsp","32","89.599998","49","1621286001"
"-M_uzkUkk4bJskUPMFqc","32","89.599998","49","1621286002"
"-M_uzkqBsFp7l-jY5qjd","32","89.599998","49","1621286004"
"-M_uzlBbywuDwEGDwLLi","32","89.599998","49","1621286005"
"-M_uzlpR2cHnsstkIi5a","32","89.599998","49","1621286008"
"-M_uzmB8j4M-MgdjsN6T","32","89.599998","49","1621286009"
"-M_uzmXoHFms_SkK2M8u","32","89.599998","49","1621286011"
"-M_uzmtYjMjQzT5fJRj9","32","89.599998","49","1621286012"
"-M_uznFq_vv7bFzJJ-ZK","32","89.599998","49","1621286014"
"-M_uznbW8OPfQLeKLJYp","32","89.599998","49","1621286015"
"-M_uznyEfgQO8UL-IFH_","32","89.599998","49","1621286016"
"-M_uzoJyVIGtsyATpEoJ","32","89.599998","49","1621286018"
"-M_uzofd5Q38kP7qjWxk","32","89.599998","49","1621286019"
"-M_uzpPKVtAS9r8E6i8f","32","89.599998","49","1621286021"
"-M_uzpklcmvO3y10Oi1v","32","89.599998","49","1621286024"
"-M_uzq6BOi4tiZPhccB9","32","89.599998","49","1621286025"
"-M_uzqSbqMLbgXGht07o","32","89.599998","49","1621286027"
"-M_uzqo6KIUPva2QIGHl","32","89.599998","49","1621286028"
"-M_uzrAFVNhqxbCxOSry","32","89.599998","49","1621286030"
"-M_uzrWfTFTCnBaQePvP","32","89.599998","49","1621286031"
"-M_uzrs6HjyIxn4TZkLw","32","89.599998","49","1621286032"
"-M_uzsDY3A43q4s1SpGz","32","89.599998","49","1621286034"
"-M_uzsZznZQXefSeu4ub","32","89.599998","49","1621286035"
"-M_uzsvPndAhzSf2td51","32","89.599998","49","1621286037"
"-M_uztGrTRCa_NjMPS2_","32","89.599998","49","1621286038"
"-M_uztcGxaFNEeYKXVG9","32","89.599998","49","1621286040"
"-M_uzu26oHdB5t5MhgD-","32","89.599998","49","1621286041"
"-M_uzuOXlX_nIjPR6gzy","32","89.599998","49","1621286043"
"-M_uzujwyYyLwFGnLg7f","32","89.599998","49","1621286044"
"-M_uzv5LvXve8qVO_fs1","32","89.599998","49","1621286046"
"-M_uzvRmOoA46gGjoCyB","32","89.599998","49","1621286047"
"-M_uzvnEaoLJoNWpbBui","32","89.599998","49","1621286049"
"-M_uzw8gcNf6a1W_75QQ","32","89.599998","49","1621286050"
"-M_uzwV5f7sM7XqFoU2x","32","89.599998","49","1621286051"
"-M_uzxCfLvlXCaCyTM8z","32","89.599998","49","1621286053"
"-M_uzxZbMB9XR62LxVDL","32","89.599998","49","1621286056"
"-M_uzxvAuZnFaBf4Vhcy","32","89.599998","49","1621286057"
"-M_uzyGiQiygttmzrbbo","32","89.599998","49","1621286059"
"-M_uzycEoaDRHPNbqf0i","32","89.599998","49","1621286060"
"-M_uzyyquB3WDn797tOd","32","89.599998","49","1621286062"
"-M_uzzKYM27tyCSHKbzI","32","89.599998","49","1621286063"
"-M_uzzgGe6UokKdGodgy","32","89.599998","49","1621286064"
"-M_v--1qtEyg66Nf19Qu","32","89.599998","49","1621286066"
"-M_v--OQtIGsuDh1kDaj","32","89.599998","49","1621286067"
"-M_v--k-ftsC6LVwLTn-","32","89.599998","49","1621286069"
