C,F,H,Time
32,89.599998,49,1621286221
32,89.599998,49,1621286223
32,89.599998,49,1621286224
32,89.599998,49,1621286225
32,89.599998,49,1621286227
32,89.599998,49,1621286228
32,89.599998,49,1621286230
32,89.599998,49,1621286231
32,89.599998,49,1621286233
32,89.599998,49,1621286234
32,89.599998,49,1621286237
32,89.599998,49,1621286238
32,89.599998,49,1621286240
32,89.599998,49,1621286241
32,89.599998,49,1621286243
32,89.599998,49,1621286244
32,89.599998,49,1621286246
32,89.599998,49,1621286247
32,89.599998,49,1621286249
32,89.599998,49,1621286250
32,89.599998,49,1621286251
32,89.599998,49,1621286253
32,89.599998,49,1621286254
32,89.599998,49,1621286256
32,89.599998,49,1621286257
32,89.599998,49,1621286259
32,89.599998,49,1621286260
32,89.599998,49,1621286261
32,89.599998,49,1621286263
32,89.599998,49,1621286264
32,89.599998,49,1621286266
32,89.599998,49,1621286267
32,89.599998,49,1621286269
32,89.599998,49,1621286271
32,89.599998,49,1621286272
32,89.599998,49,1621286273
32,89.599998,49,1621286275
32,89.599998,49,1621286276
32,89.599998,49,1621286278
32,89.599998,49,1621286280
32,89.599998,49,1621286281
32,89.599998,49,1621286283
32,89.599998,49,1621286284
32,89.599998,49,1621286286
32,89.599998,49,1621286287
32,89.599998,49,1621286289
32,89.599998,49,1621286290
32,89.599998,49,1621286291
32,89.599998,49,1621286293
32,89.599998,49,1621286294
32,89.599998,49,1621286296
32,89.599998,49,1621286297
32,89.599998,49,1621286299
32,89.599998,49,1621286300
32,89.599998,49,1621286301
32,89.599998,49,1621286303
32,89.599998,49,1621286304
32,89.599998,49,1621286306
32,89.599998,49,1621286307
32,89.599998,49,1621286309
32,89.599998,49,1621286310
32,89.599998,49,1621286312
32,89.599998,49,1621286313
32,89.599998,49,1621286314
32,89.599998,49,1621286316
32,89.599998,49,1621286317
32,89.599998,49,1621286319
32,89.599998,49,1621286320
32,89.599998,49,1621286322
32,89.599998,49,1621286323
32,89.599998,49,1621286325
32,89.599998,49,1621286326
32,89.599998,49,1621286327
32,89.599998,49,1621286329
32,89.599998,49,1621286330
32,89.599998,49,1621286332
32,89.599998,49,1621286333
32,89.599998,49,1621286334
32,89.599998,49,1621286336
32,89.599998,49,1621286337
32,89.599998,49,1621286339
32,89.599998,49,1621286340
32,89.599998,49,1621286342
32,89.599998,49,1621286343
32,89.599998,49,1621286345
32,89.599998,49,1621286346
32,89.599998,49,1621286347
32,89.599998,49,1621286349
32,89.599998,49,1621286350
32,89.599998,49,1621286352
32,89.599998,49,1621286353
32,89.599998,49,1621286355
32,89.599998,49,1621286356
32,89.599998,49,1621286358
32,89.599998,49,1621286359
32,89.599998,49,1621286360
32,89.599998,49,1621286362
32,89.599998,49,1621286363
32,89.599998,49,1621286365
32,89.599998,49,1621286366
32,89.599998,48,1621286368
32,89.599998,48,1621286369
32,89.599998,48,1621286370
32,89.599998,48,1621286372
32,89.599998,48,1621286373
32,89.599998,48,1621286375
